Keyword,Score
curso,180
estudiante,97
incluir,65
estudiant,64
tecnica,58
aprenderar,53
concepto,47
cubrir,46
proyecto,44
desarrollar,43
tema,42
explorar,42
aplicacion,36
habilidad,36
aplicar,35
analisis,32
practico,32
avanzado,32
gestion,31
abordar,28
teoria,28
enfocar,27
problema,27
principio,26
practica,25
sistema,23
introducir,22
proporcionar,22
real,22
desarrollo,22
estudio,22
dato,21
fundamental,21
herramienta,21
arte,21
aprendizaje,21
tambien,21
estudiantes,20
diseno,20
creacion,20
estudiar,20
analizar,18
espacio,17
campo,17
trabajar,17
presentacion,17
mejorar,17
educativo,17
aprender,17
entorno,16
empresarial,16
planificacion,16
diferente,16
laboratorio,16
enfoque,16
uso,16
diverso,16
caso,16
mas,15
practicar,15
aplicado,15
programacion,15
conocimiento,15
estrategia,14
produccion,14
complejo,14
area,14
basico,14
disenar,14
decision,13
