Keyword,Score,NScore
tecnica,6.083815883369149,1.0
incluir,5.8059980928685695,0.9285626534845566
aprenderar,5.443195238703821,0.8352724679890207
concepto,5.382473140412624,0.8196585450326936
cubrir,5.303270967158818,0.7992927035028421
proyecto,5.0930257813778415,0.7452308014094695
tema,4.841707116261784,0.6806073713067922
desarrollar,4.73328579667072,0.6527281942269776
explorar,4.706641046951694,0.6458768323503115
aplicacion,4.6614492709732405,0.6342563362172018
habilidad,4.231465631379831,0.5236914576964296
avanzado,4.190535761579821,0.5131668570707213
enfocar,4.136171537642292,0.4991877814453958
arte,4.079568173645496,0.4846329391493247
analisis,4.069240977915572,0.4819774308085445
aplicar,4.048387799643557,0.4766152986013805
practico,4.001684893473984,0.4646062343679398
gestion,3.9322111117744822,0.44674192622531494
teoria,3.6993554919536806,0.3868660357316418
problema,3.5591262155924768,0.3508078430976308
introducir,3.4912627566578207,0.3333576091766268
principio,3.484842232377245,0.33170665220581563
abordar,3.324213496821091,0.2904029955120282
fundamental,3.2637955356547304,0.2748672775876252
creacion,3.219593834253796,0.2635013666649979
proporcionar,3.190688696657085,0.2560687745086345
herramienta,3.0534053097792,0.22076808026029893
practica,3.011694143832771,0.21004257916870472
real,2.99001925874418,0.2044691554006799
desarrollo,2.985984738922781,0.20343172943171872
artistico,2.966304199976698,0.1983711266612166
sistema,2.917824715280657,0.18590523763056432
empresarial,2.89558867673314,0.18018752031668195
diseno,2.8370157986019597,0.1651262422612897
espacio,2.822376489585711,0.16136192828752982
estudiantes,2.7968109688668203,0.1547880765584796
estudio,2.776660206543716,0.14960656176768028
aprendizaje,2.771241725105067,0.14821326749583819
laboratorio,2.754522655140869,0.1439141691828888
estudiar,2.71684950872122,0.13422699396542603
dato,2.7110453972321835,0.13273453978202232
mas,2.6794520142366194,0.12461069917202183
tambien,2.654972576274438,0.11831611994778735
enfoque,2.56295210056324,0.09465421335047364
trabajar,2.5571984447510494,0.09317473320902747
planificacion,2.555470165624602,0.09273032799434
analizar,2.5384487465522434,0.08835348441543989
presentacion,2.525943717836425,0.08513797374584642
produccion,2.496241633909085,0.07750045687579665
uso,2.493952713859633,0.07691188990740971
mejorar,2.482403708693849,0.07394220865535539
entorno,2.4820865284023674,0.0738606497373695
complejo,2.44679655677124,0.06478627790757929
campo,2.4299709281662216,0.060459779381940915
diverso,2.408934820637472,0.055050609219872926
decision,2.401302844474418,0.053088142652216064
area,2.399048345601159,0.05250842665585198
diferente,2.3572985998935594,0.04177300526447347
programacion,2.353304994521751,0.040746099931025404
educativo,2.348649732264107,0.039549057861040016
estructura,2.3481388585878644,0.039417693128171005
practicar,2.3339688065302218,0.035774042672382156
aplicado,2.327555518294212,0.03412494635931396
matematica,2.299056960444727,0.026796901065253564
estrategia,2.2347684714177265,0.010265925639593942
aprender,2.205767370097917,0.002808657620221422
integral,2.1948445812153,0.0
