Keyword_es,Keyword_en
analisis,advanced
aplicacion,analysis
aplicado,application
aprendizaje,art
area,basic
arte,business
artistico,complex
avanzado,contemporary
basico,control
campo,create
complejo,critical
conocimiento,current
creacion,design
crear,develop
dato,different
decision,educational
desarrollar,emphasis
diferente,engineering
disenar,environment
diverso,explore
educativo,fundamental
empresarial,improve
enfocar,introduce
espacio,knowledge
estrategia,laboratory
estructura,learning
explorar,management
fundamental,mathematic
gestion,plan
habilidad,practical
ingenieria,presentation
integral,principle
laboratorio,problem
matematica,process
planificacion,production
practico,programming
presentacion,project
problema,science
produccion,skill
programacion,social
proyecto,solve
sistema,strategy
social,structure
tecnica,system
teoria,teach
,technique
,theory
,tool
,work
